city_avg_temp,global_avg_temp,year
15.33,7.90,1850
,8.18,1851
,8.10,1852
,8.04,1853
,8.21,1854
,8.11,1855
,8.00,1856
,7.76,1857
,8.10,1858
15.73,8.25,1859
,7.96,1860
,7.85,1861
,7.56,1862
,8.11,1863
15.43,7.98,1864
,8.18,1865
,8.29,1866
,8.44,1867
,8.25,1868
,8.43,1869
,8.20,1870
,8.12,1871
,8.19,1872
,8.35,1873
,8.43,1874
15.11,7.86,1875
15.39,8.08,1876
15.98,8.54,1877
16.10,8.83,1878
,8.17,1879
15.62,8.12,1880
15.81,8.27,1881
15.58,8.13,1882
15.46,7.98,1883
15.28,7.77,1884
15.50,7.92,1885
15.52,7.95,1886
15.35,7.91,1887
15.47,8.09,1888
15.84,8.32,1889
15.48,7.97,1890
15.48,8.02,1891
15.75,8.07,1892
15.53,8.06,1893
15.85,8.16,1894
15.83,8.15,1895
15.85,8.21,1896
15.95,8.29,1897
16.33,8.18,1898
15.87,8.40,1899
16.15,8.50,1900
16.45,8.54,1901
16.19,8.30,1902
16.08,8.22,1903
15.58,8.09,1904
15.63,8.23,1905
15.21,8.38,1906
15.40,7.95,1907
15.99,8.19,1908
15.66,8.18,1909
15.52,8.22,1910
15.91,8.18,1911
15.93,8.17,1912
15.90,8.30,1913
16.30,8.59,1914
16.34,8.59,1915
15.69,8.23,1916
15.34,8.02,1917
15.80,8.13,1918
15.92,8.38,1919
15.49,8.36,1920
15.71,8.57,1921
15.54,8.41,1922
15.55,8.42,1923
15.85,8.51,1924
15.80,8.53,1925
16.02,8.73,1926
15.93,8.52,1927
16.25,8.63,1928
15.99,8.24,1929
15.85,8.63,1930
16.45,8.72,1931
16.04,8.71,1932
16.16,8.34,1933
16.19,8.63,1934
16.11,8.52,1935
15.86,8.55,1936
15.99,8.70,1937
15.97,8.86,1938
16.20,8.76,1939
16.22,8.76,1940
16.37,8.77,1941
15.90,8.73,1942
16.05,8.76,1943
16.24,8.85,1944
16.13,8.58,1945
16.21,8.68,1946
15.85,8.80,1947
16.10,8.75,1948
16.47,8.59,1949
15.97,8.37,1950
16.02,8.63,1951
16.27,8.64,1952
16.36,8.87,1953
16.05,8.56,1954
16.08,8.63,1955
15.70,8.28,1956
15.97,8.73,1957
16.23,8.77,1958
16.28,8.73,1959
16.15,8.58,1960
16.36,8.80,1961
15.83,8.75,1962
15.85,8.86,1963
15.63,8.41,1964
16.01,8.53,1965
16.23,8.60,1966
16.33,8.70,1967
15.68,8.52,1968
16.33,8.60,1969
16.04,8.70,1970
15.80,8.60,1971
16.31,8.50,1972
16.47,8.95,1973
15.94,8.47,1974
16.16,8.74,1975
16.28,8.35,1976
16.24,8.85,1977
15.86,8.69,1978
16.19,8.73,1979
16.62,8.98,1980
16.31,9.17,1981
16.46,8.64,1982
16.71,9.03,1983
16.33,8.69,1984
16.24,8.66,1985
16.53,8.83,1986
17.19,8.99,1987
16.52,9.20,1988
15.91,8.92,1989
15.94,9.23,1990
16.26,9.18,1991
16.34,8.84,1992
16.36,8.87,1993
16.58,9.04,1994
16.52,9.35,1995
16.44,9.04,1996
16.77,9.20,1997
16.53,9.52,1998
16.70,9.29,1999
16.73,9.20,2000
16.10,9.41,2001
16.61,9.57,2002
16.87,9.53,2003
16.92,9.32,2004
17.28,9.70,2005
16.92,9.53,2006
16.60,9.73,2007
16.66,9.43,2008
17.30,9.51,2009
16.82,9.70,2010
16.90,9.52,2011
16.84,9.51,2012
16.91,9.61,2013
